阿	至亲
阿爸	叔父
阿伯	老父
阿伯	伯父
阿爹	爸爸
阿兄	弟弟
阿哥	哥哥
安	啊	安?!他真是小冯?	(仔细打量)
安	哼	谁同意你捐的，安?你怎么不把书包也捐了?
嚼蛆	信口雌黄	谁准许那个死老汉谄肩磨舌地背着主人家向人胡~?|“这些钩子麻搭事情，老娘早就弄得清清楚楚的了。”“你乱嚼些啥子蛆呀！”
嚼牙巴	信口雌黄	这回凭硬本事还是考起了，看哪个还敢乱～
嚼牙巴	闲聊	事情过去好几天，三倒拐的茶馆、酒店里，它还是~的最佳话题。
嚼治	灵验	这副药硬是～吃了病就好了。
绞绞	搅缠	理不出来了，这毛线打起这么多～了。
绞绞肉	肉末
绞绞肉	绞肉
绞起裹起	搅缠	这绞毛线～的，半天理不出个头来。|你把几件事情说得～了。人家咋个听得清楚头绪嘛。
搅肇	搅扰	走开！哪个要你来～我！搅，
搅团	糊糊
缴缠(绞缠)	开销	这么一大家人的～，五六张嘴，要吃要喝的。
缴费	开销
缴用	开销	你月间工钱，只够你一家~，哪里还供养得起我。
叫	发情	你们那母猪～了没有?～了就要牵配种了。
叫春	发情	我才不喜欢这猫儿～的声气，唱得人泼烦。
叫咕咕(叫蛄蛄)	蝈蝈儿
叫鸡鸡	蝈蝈儿
叫鸡子	蝈蝈儿
叫咕咕(叫蛄蛄)	教师	哼，我还看不起他是个小学教师呢！这年头～有什么好?
叫号	叫春	猫儿～隔不倒好久要下崽崽了。
叫话	像话	才将你们两个太莫名堂，尽干些不～的事。
叫鸡	公鸡
叫叫草	含羞草
对月草	鹅冠草
对对草	鹅冠草
叫叫儿	哨子
叫明鸡	公鸡
叫明鸡	带头羊	那三个人当中并没有一个～，都是没眉没眼的脚色，是不足为虑的。
叫梨子	李子
叫窝	叫春	猪～了，该牵配种了。
叫子	哨子
叫猪	母猪
轿椅	竹椅
教咕咕	教师
教老者	教员	素来行为端正的～便不同啦。
燋	口	这叶子烟不错，你来烧一～嘛。|人家说鸦片烟医得倒病，他烧了两~病没医倒，瘾倒烧起了。(
蟭	毒刺	死蜂活～|把大马蜂的～扯出来，它就不镉人了。
蟭	下	我遭蜂子锔了一～。
节疤	分杈	这麦子～稀，和秆高。|我特别对于私塾先生可中的那根紫荆竹做成，还故意留着～的教鞭望而生畏。
节疤	节疤	这块板子这么多～,做桌面要不得。
节节	片段	把谷草宰成~喂马。|挂面都断成～了。
节节草	灯心草
节子(截子)	片段	韭黄择去老皮残梢，淘洗干净，切成八分～。
劫场	抢劫	有天晚黑，土匪～把他和十几个青壮年抓去当驮牛，他整死不干。
结	结巴	他是夹舌头儿，说话是～的。
结脚	完毕	“张福寿这块田还没评～哩！”于是，招呼大家继续研究二悍子即张福寿的田。
结舌子	口吃
结实	狠狠	大家～的批评了他一顿，他才不捣乱了。|县大老爷很是生气，本想～捶他一个不逊的，却不料他忽然大喊，自称是教民。
结子	结巴
接	娶	只要我找得到钱，～个老婆生两个娃娃，你们就满足了。
接	嫁接	~桃子树|～柑子树。
接产	接生	此外，他还会～。自备有橡皮手套等等，简直像个专门产科医生。
接骨逗榫	接骨	他是骨科医生，专门～的。
接话瓢	长舌妇	你硬是个～横顺要打岔别人的话。
接鸡下巴	接嘴	我们说话，要你来～！
接上气	衔接	这篇文章，中间要加几句话才能够～。|我打这背猪草，只够吃两天，今天不打接得上气不?
接血	多管闲事	“你们就让我说两句好么?”陈国才更加动情地说。“少去接些血啊。”假咳一声，陈国才老婆轻声说。(还)
接嘴	接嘴	人家又没问你，要你来～！|中年男人的火气终于找到了发泄点“你接啥嘴?你是不是坐二等舱的?”又说接话。
接嘴瓢	接嘴
接话	接嘴
桀	固执	那娃儿才～哟，板子打在他身上，他也不认错。
桀肚子	桀骜不驯
揭	买	你上街去～几张红纸。
姐儿妹子	姐妹	只要是女的，一出来，就吃了你们的亏！难道你们家都没有～吗?
姐夫哥	姐夫
姐夫子	姐夫
借由头(借油头)	借口	百姓们气不过，才借了他老姿在戏场里卖妖娆的由头，把经征局打了的。
巾巾(筋筋、襟襟)	带子
巾巾吊吊	零乱	这房子盖的是没梳过的谷草，屋顶上到处～的。
巾巾吊吊	破烂	平时在街上跟起两片没后跟的烂鞋，穿得～的。
巾巾吊吊	浊物	天花板上好多~打扫一下嘛。
巾子	带子	水牯牛粗壮的颈项上，吊着一个红布～系住的大铃铛，真是雄健异常。
金包卵(金宝卵)	宝贝	当然上二年级的小儿子夏科峰更是夫妻俩的～啰。
金佚子(金夫子)	矿工
金佛草	含羞草
金果铺	小卖部
金龟莲	含羞草
金贵	贵重	哎呀呀，啥画图那么～引得你老动肝火?
金马蹄草	狼尾草
金门門子	金矿
金钱草	含羞草
金坛	坛子	他在李氏的坟址四周拣了些白骨，用～盛好，带回小阁楼里。
金挖耳	大白菜
金银斗壳	金箔
经烧	耐用	大部分是硬柴，拿来煮饭，又旺火，又～，一百斤，差不多要抵两百斤草。
经使	耐用	像你那样大手大脚的，钱再多也不~嘛。
经事	耐用	你买的这件又厚又~从前的人真~七八十岁活得硬帮帮的。
经用	耐用	我第一个反应就是觉得菜票太不～|为什么擦黄腊?那擦起才～，摇起来车子转得快。川东多说经用，川西也说经使。
经佑(经由)	伺候	菊花要服侍太太老爷，要～少爷小姐。|他不得不从纸厂退职回家，~自留地，照看女儿。
惊诧诧	高声	刘观英～的声音连街上都听得见。惊，
惊风火扯	高声	王三哈哈用当年在赌场里呼么叫六的男中音，～地喊道：“李书记，几时回来的?”|女人见识，芝麻大点事就	~的。
惊呼呼	高声	她擦擦沙眼，～地“啊哟”一声，表示了她对来客的高兴。
惊叫唤(精叫唤)	嚎叫	每回和老婆吵架，老婆毛了，就揪住他的耳朵不放，弄得他～。
惊惊炸炸	高声
惊惊抓抓	高声
惊尸	诈尸	你叫他们把狗呀，猫呀，一概关好哇！惊了尸，可不是儿戏！
惊乌呐喊	高声	我才放几句腔，你们就～闹圆了。又说惊呼呐喊。
惊炸炸	高声	刘小龟眯起眼睛，狞笑一笑，蓦地～吼道：“来呀！拖到那边去，送他上西天！”炸，又作咋、乍。
惊张	慌张	何必这样～哟！赵护院身当其冲的人，都不像你这样乱怪人。
惊抓抓	高声	小女娃儿跑下坡来，妈呀娘地、～地哭喊着。
筋瓣瓣	皱巴巴	老得~全靠花打扮。
筋暴暴	生硬	灯杆老汉在旁边忍耐不住，~地又插上一句：“我们城头人的钱，就是大街上白拣的么?”
筋斗(斤斗)	跟头
筋斗虫	孑孓
筋斗扑爬	心急火燎	阿龙摆谈他们顾团总咋样带起团丁去打仗，又咋样打败了，～地跑回去，越摆越起劲。又说跟斗扑爬。
筋骨人	精瘦
筋筋	碎渣	萝卜老了，吃起有～了。
筋筋	藤蔓	草草～|打从统购后，就只剩下点红苕～，人靠它，猪也靠它。
筋筋绊绊	磕磕绊绊	那边是建筑工地，～的，不好走。设计交下来了几年，架了儿回势都没有搞成器，又是停工待料，又是~的东西拖住。
筋筋绊绊	障碍物	注意，走好，路上～太多了，谨附摔倒。这事好办，没得啥子~缠倒。
筋筋网网	网状	割块肉尽是～，切都不好切。|棉絮都烂成～了。咋个盖哟，卖给收荒匠算了。说到电视机的钱收少了，等你把那些麻麻杂杂的～理伸展，他先生早看饱了，机子离“废品”也不远了。
筋筋网网	百孔千疮	一件衣服烂得～的，还穿哪?这块肉割得不好，～的。
精蹦	精神抖擞	八十多岁的人，还这么～真不简单。
精蹦蹦(筋蹦嘣)	精神抖擞	看他～的，说起话来刚声刚气，这像饿饭的人吗?
精打溜光	一无所有	我是个穷人，家头～。|那群儿女们，把老杂货商的全部财物，以迅雷不及掩耳之势，统统劫掠个～。
精怪	刁钻古怪	儿子还是好的，就是媳妇～。
精光瞎	青光眼	他老子由于自己的眼睛几乎成了～，也老了，行路吃力，因才鼓动起他到郝家来报信。
精精怪怪	蝇营狗苟	他这个人，～的，一天到黑都去缠女人。|那老东西，只要自己的母亲、女儿和老婆不在，便要说些～的话来逗引她。
精精瘦瘦	精瘦	脸是长条形的，～皱纹不多，细眉毛，小眼睛，神态既精明又庄重。
精灵(伶伶)	机灵	我不禁暗暗佩服土匪～会钻国民党反动派的空子。
精灵鬼儿(精灵果儿)	机灵鬼	谁不知道游山货郎李春山，从小就是～什么事能麻过他?
精痛(筋痛)	剧痛	你把我脚踩得～。
轻痛	剧痛
井	坑	棺木还没落～。
尽1(紧、保)	老是	哥哥也在病中，你又有小娃娃，~在这里做啥?
尽2	很	在那些年辰，有稀饭吃就～不错了。玉荷的爸爸虽是死了多年，但留下的一份产业，却～够她们母女过活。
尽倒	老是	还～嚼牙巴呀！不想吃夜饭哪，不哏猪哪，胀饱了么?
紧	煮	这肠子要～一下，吃起才没得气味。
紧逼	紧张	这间房子住四口人，是有点儿～。一大家人吃饭，他一个人挣钱，是很～。
紧火	紧急	在现今这种～关头，革命者应该有所作为呀！|这儿天正是收进拿出的时候，活路~得很。
紧火	紧张	大渡社因为各项作物都空前大丰收，晒场晒席特别~。|这点粮食要吃个对年，～哟！
紧揪揪	紧绷绷	伍大嫂因为上长路，已把翳头改梳成一个~的圆纂耸在脑后。
紧卷	紧凑	这个院坝只有一个门进出，～得很，不容易掉东西。
紧卷	紧	把铺盖卷捆~点儿才好背。
紧卷	整齐	她身上收拾得很～。
紧忙天	繁忙	各自养着两三头拉早碾的牛，纸厂原料是嫩慈竹，碾料子大都在农闲，春耕秋种～便拿出来出租。
紧水滩头	节骨眼	～上，哪个要溜边边，或是起别的心肠，妈的，死儿绝女
紧扎	紧	柴捆～点儿，免得散。
颈颈	颈	瓶子～|脚～|手～没洗干净。
颈子	颈项
谨慎	安全	这地方很~，不得掉东西。
警察灯	路灯
警觉得	小心	哪个搞的?不～就快下午一点啦|我还没～就坐过站了。
警心	警惕	你同志既然是为农业社办事的，往后可要～点才好啊！
尽都	全都	那些打帮捶的人，～不做声了。
进门饭	接风
进牛圈门	启蒙	不要默着你认得了几个字，我没进过牛圈门，他阎王老爷终不会短我的寿数。
近情，	合理	这娃儿对妈老汉那么不好，太不～了。|你做些事情简直不～大家该管嘛！
劲仗(劲涨)	劲头	看你们那个～在撵黄麂子么?|只是你们老爷抽的那种双金兰烟，～太大，我受不了。
劲仗(劲涨)	厉害	好～的烟！这不是你平时抽的福烟啊。|哈哈！阶级斗争！看你说得多～。(舌战群魔)
净瓣(净办)	纯净	这米好～，一点儿稗子、谷子都没得。上半天带骨肉也要卖三吊二，这时变成二吊六，而且肉又~。
净人	独夫	人家又没婆娘，光身杆子一个～，要置东西做啥?
浸咸菜	泡菜
禁(噤、惊)	酸痛	我吃不得泡菜，吃起牙齿~。|人倒霉了水都～牙齿。
纠纠	疙瘩	眼皮上长了个～。
纠纠	小	大的都选完了，只剩些~了。
揪(纠)	拧	郝达三伸手把叶三小姐新扑了粉的嫩脸一～。|那面团太大了，～一坨下来。
揪瓢瓢儿	逗弄	这娃儿脸包儿才胖，揪个瓢瓢儿嘛。|他是个流氓，在大街上揪人家女娃儿的瓢瓢儿。
鬏鬏(纠纠)	发辫	你的头发不好梳辫子，还是扎个～算了。
九大碗	筵席	要是土改后的那两年，少说也要请你吃一台～呵！
久不久	不时	如果不是～还有点会议伙食吃的话，那喉咙简直就要生锈了。
就	拧	墨水瓶盖盖要～紧点儿。|话说~起了。
就	扭	～麻花|晚上你趁着火光～索子，我就坐在侧边纳鞋底，纺棉花。
酒谷	糯稻
酒米	糯米
旧普普	陈旧	这衣服才洗一次，就～的了。
旧乍乍	陈旧	这布颜色不好，看起~的。
就	扭曲	我睡失了枕，颈子是～起的。|门枋没装正，～起～起的。
就	执拗	他那个人～得很，不好跟他商量。
就口馍馍	玩具	“你也出去陪陪客嘛！、”“我也是人，我不是人家的～，我今天偏不出去！”
舅母子	弟妹
舅老信(舅老官)	舅子	哦！原来要当～坐上八位了。
锔	刺	针把手指拇～倒了。|钉子把鞋底都～穿了，差点儿～倒脚板。
锔	刺儿或刺状物	玫瑰花好是好看，就是～镉人。|这黄瓜皮子上所好多～。
局面	齐整	“为什么打扮得这么～?”“这也叫～！那吗，把这身鬼皮换了就是	！|我们邛州还不是大地方?苏气人，～人，也不少啦。。
橘柑	橘子
橘子柑	橘子
具砍头甘结	担保	曾板鸭是我的老庚，跟我一样，只是爱说一点空话。若说他犯了啥子别的事，我敢～担保他没有。
锯锯藤	紫藤
卷	卷曲	他的头发生来就是～的，不是烫~的。
卷卷儿	卷	刨花儿薄得很，尽裹成～了。
卷卷儿头	卷发
踡(捲、腃、蜎)	弯曲	随后他把身子～成一团，在地上滚来滚去，哇哇地发出欢乐的喊叫。|两只脚挤来～在椅背底边。。孙小芬！又~在你那狗窝里偷懒。
卷心白	圆白菜
腃	骂	～人|加上脾气燥辣，三言两语不合，便把斗鸡眼一睦，立刻～妈叨娘。
棬子树	乌柏
撅	弯曲	火车上挤得很，好不容易找了个座位，还是～起的，脚都打不伸。|你在角角头，身子一～起，好恼火哟，
诀(绝)	骂	老爷案倒断得好，堂口人人都在～我们难过。川汇三十一)
绝兜子	断子绝孙	真是太没良心了，简直在做～的事！|这就躲得脱么?除非你妈的绝了兜子！
蕨藄	蕨菜
蕨荆	蕨菜
菌子	蕈
啐	吸	城头的人好讲究，喝水都要拿麦秆～。
脚(足)	腿	这人双手齐肘，双～齐大腿竟已全部截除。|兔子前～短，后～长。
脚(足)	下	从床上丽到地上，又从地上滚到床～。|狗在桌子～拱来拱去的，想捡点儿骨头吃。
脚板	脚	那些打光～的“农二爷”即使少个两三分一斤，他也卖了。
脚板	脚掌	一副逃兵样子，～抹清油，溜到后方来，装猫吃像，
脚板苕	山药
脚步	立场	文章做得好，面面俱到，又不失自己的～又提出了转画方法。
脚底	下面	他把“鸡闹”移到自己下巴～慢慢地品尝那精美的味道。|那本书没放在高头，在～的。
脚肚子	腿肚子
脚肚子	后台	我们第三营里新接事的黄管带，虽然有～到底因为是武学堂出身，一下就得了管带。又说脚肚，
脚杆	腿
脚跟脚	紧跟	他曾经～的从女学校门外，一直跟到她的住处。|这娃儿最懒，只要大人一出门，他就～梭出去耍。
脚颈(脚胫)	脚腕子
脚脚	脚	你那么大个个子，这么小个～。|你咋个不吃鸡肉光啃～?
脚脚	腿	桌子～|板凳～|他上穿阴丹布马褂，下穿毛织贡大～裤子，
脚脚	根	豆芽要掐了~才好吃。
脚脚	下脚	她不喜欢的人，她就啬了，你吃她～她都不于。人家在街上买不到小莱——连小菜～都买不到。
脚脚	水垢	这开水头～太多了，
脚脚爪爪	脚爪	有好多好多油蚱蜢啊，把~扯掉烧来吃，|这猫儿的～还长得可以。
脚脚爪爪	爪牙	这方圆几十里都是他的天下，～多的是。给抓回来就没命了。
脚马(脚码)	鞋帮	大雨之后，泥泞有几寸深，不在草鞋后跟拴上铁~几乎半步难行，也说脚马子。
脚模手印	手印	除了他顾天成加盖～外，还要曾师母和其他几个人担硬保！
脚力钱	脚钱
脚帘	帘子
脚畑手软	有气无力	那就是说你们该早饿得～的喽?吓得他～站立不稳。
脚绊子	脚镣
脚头	痛殴	不承认吧，好！硬的来了	冷不防就给你一阵～耳光。
脚弯弯	腓	大家好像在争论裙子的事，一个说：“齐～的算超短裙。”也说脚弯或脚杆弯弯。
脚丫子(脚丫指)	脚	他穿着大白布衬衫，齐大腿的短裤，光着两片～。
脚叶	叶子
脚油	脂肪
脚鱼	团鱼
脚榨(脚柞)	老虎凳
脚爪	爪子	鸡～|狗～。
脚子1	脚夫	～大哥们打从这里经过，总要歇下来喝阵茶，吃顿饭。
脚子2	渣滓	莱油脚子。
脚子3	地基	～起得高
脚猪	公猪
郎猪	公猪

卡拿	刁难	你处处都～我，不是通知食品站不要卖肉给我，就是喊税务所来罚我的款。
㮟儿(旯儿)	角落	我那阵子要不是遇到你们这些闹解放的，这还不晓得在哪～变牛变马哟！楸，又作硒，下同。
㮟㮟(卡卡、胯胯)	角落	内中也有不满意他的，他婆娘就在～里咒他。
㮟㮟(卡卡、胯胯)	窄缝	铅笔掉在桌子～头了，拿只筷子掏出来。|那鬼都不下蛋的老山～里，哪儿来的剧团?
㮟㮟角角	角落	我～都找交了，还是没有找到。|你们单位上的人，随便哪个～抠点奖金么也要不完嘛。
卡白	苍白	他的手～哪像健康人的手嘛。|女人一脸～吓得已经说不出话了。
卡白	浅白	一件蓝涤卡衣裳，洗得～了，还穿起走人户哇?卡，
胯(跨)	胯	早知不认爹娘，我该一~夹死。
胯胯	胯
开	开始	看到就～喊。|刚伸手扯绳子上的衬衣，我一喊，他就～跑，
开仓	敞口	解放前，他父亲得肺痨，～吐血死了。
开初	起初	～因为刚刚回到区上，挤不出空，亲自到梨花社调查了解；即后，她考虑，让事情冷一冷，再去理抹，也许好些。
开单份儿	开小灶	那几个学生基础差，要开几天单份，给他们补补课。
开红山	屠杀	那就大～砍瓜切菜般杀将起来！|今天真是个大日子，成都省从来没有过的大日子！好端端地会开起红山来。
开花	骂人	“去他妈的！”他恼怒地詈骂了，但是随又抱歉地笑起来，“莫见怪哇！我从来不～的，可是，一提笋贩子啦……”
开花开朵	稀巴烂	棉袄都～的了，还穿起做啥子?
开花开朵	裂开	馒头发得好，蒸起～的。
开花开朵	滚沸	右边阶沿上有一家卖汤锅的，锅里煮得～的。
开黄腔	胡说八道	你李主任庄稼做老了，怎么也兴～啊！|他怎么也没有想到小齐会开这样的黄腔，小齐却故作镇静：怎么，我说的不合适么?
开横线子	逃跑	叭叭叭一阵扫，驻军都～了。|把他们两个都背剪起来，免得开了横线子，交代不出！
开间	丈	临街是双～大铺面。
开间	宽度	那房子进深还可以，就是～小了点儿，不好摆家具。
开叫	成熟
开教训	教训	“我看你，也没长脑筋。”“莫动辄～！”|单就这电报的最后几句而论，无异在开季帅的教训。
开亮口	破晓	才~还早呢。
开路	带路	到了时候，道士便穿戴齐整，到房里死人脚下点起香烛，敲起法器，做起～的法事。
开亲	结亲	～学名应该叫“订婚”。在山里，尤其是女孩要过了十八、二十还没～那简直就成了嫁不出去的老黄花了，|他们两个是表兄表妹开的亲，生的娃儿有点傻。
开山儿	斧头
开首	开始	因为嫁妆多，这年青人～很是高兴，但不久便在婆家住不下去了。
开条	出主意	当师爷出身，专门替东家～，打主意，办过多少疑难事情。|这个究竟是哪些烂心肺开的条呵?
开先	原先	场上的气氛跟～大不相同。|～你说行，这阵又来变卦。
开销(开消)	辞退	依我说，不如把他~了，另自找个精明点的。|那些男女佣人，怕得罪大少爷，被～只有含着眼泪，笑脸侍奉。
开心见肠	开诚布公	吴金廷这才～地告诉伍大嫂：“我是顶喜欢你的。”|对于李春山，也要和他～地谈一谈。不管怎么说，人家到底是个共产党员嘛
开秧门	插秧	转眼立夏要来，天气亢阳，秧子蹦得快，就要～了。
开洋荤	尝鲜	公子哥儿纷纷前来赶时髦，～。|这床是席梦思哟，今晚上我要开一下洋荤了。
开张鸿发	开张	靠内的壁上，仍悬挂着五十年前～时，邻里契友等郑而重之地敬送的贺联。|并且～这么久了，还不跟我说实话，你这鬼东西真胆大。
揩屁股	擦屁股	他做事情总是有头无尾，要别个～。
坎(砍)	吝啬	你那么～嗦，肉都舍不得吃?
坎(砍)	老土	你看她那身打扮哟，又～又苕。
坎壁	坎子
坎节	关键	在这个过经过脉的～，好话一句三冬暖，恶语伤人六月寒哩！
坎脚	下面	岩～|他走到山~去了，喊不答应了。
坎坎	坎子
坎坎	期限	去年借那笔钱，今天就抵拢～了，该还了。
砍1	揍	黄埔分校学生们老起棍棒正好赶到，不由分说，一齐朝濑户～去
砍1	削减	“照雷振中的一个样！”“我说，跟徐元菊的走	～十斤。”
砍2	下棋	你两个不要搬嘴劲，是对的就～一盘好了。
砍2	赢	你那个臭棋，我连～你三盘不成问题。
砍草帘子	离婚	背时婆娘，前年就跟我砍了草帘子了。|要打就去离婚！草帘子一砍，各人走各人的路。
砍草帘子	散伙	一条黑绳子把你我捆在了一起，要上天，大家上天，要入地，大家入地，拦中半腰～可是妄想。
砍刀	劈刀
砍脑壳	理发	走！～去。|他的头发不肯长，一个月砍一回脑壳。
砍截(砍切)	干脆	～点说吧，你们是不是怕工作组硬要你们照着你们大队长在县里讲的做呵！|整个过程，简单而～没有丝毫的繁琐哲学。
看白	小看	如今这点麦种都不能匀给人家，岂不是～了我这老大妈！
看财喜	扒窃	那个扒哥儿进城～去了。	
看倒(看到)	眼看	～明天就要过中秋节了，家里还样啥都没有。
看菲	小看	莫太～了，太平镇过去赌场里的老宝吏，也算是长得有二分头脑的人物哩！|你莫把那点钱～了，积少成多嘛。
看门头儿	门卫
看年看月	偶尔	过去是～才吃回肉，现在天天吃肉。
看人	相亲	“八字”很好而且合得，这就该“～”了，“～”是很重要的一环。说来笑人，所谓～并不是娶妻的丈夫看而是讨媳妇的老人婆看。人家给他介绍了个对象，他今天～去了。
看人	照看	有个老年人在屋里头才好呢，不说别的，看下人也好嘛。
看人	因人而异	屠夫提刀，～。
看人户	找婆家	二十几的大女子了，还不～。|托人去看一下人户嘛。
看神仙打仗	袖手旁观	你们现在既然都懂得了革命真谛，为啥还只是站在一旁～?
看田缺水的	儿子	她想个女儿，哪想到生下来还是个～。
看甑脚水的	女儿	看甑脚水，借指做家务活。～指女孩(与上条相对)	她想个女儿，生下来正好是～。
看外	解手	去～的吧，我来喊住狗
看笑场	幸灾乐祸	一社有事，兄弟公社还能站在一边～?
看笑神儿(看肖神儿)	幸灾乐祸	他们免去了自己的灾难，乐得来～。|你们的鸡鸭糟踏过庄稼没有?不要光看我的笑神！
糠头	谷糠	
扛	弯曲	坐伸展，背不要~起。
㝩	盖	把锅～倒|拿个鸡罩把鸡～倒。
㝩	掩盖	有啥事对大家公开，不要～倒蒙倒的。
康不严	暴露	那件事情～了，别个晓得了。
亢阳	晴朗	转眼立夏要来，天气～秧子蹦得快了。
炕	烘烤	干辣椒节在锅内～起，待其～出糊香味时，铲起用刀铡细。
炕	暴晒	我们队里的苕板田，这两天都犁来～起了么?
炕	熏制	兄弟也没啥好回敬，幸得过年杀的猪～好了，打主意办一台“春酒”。
炕土	沃土
炕灶	炉灶
敲	接	黄太太假作嗔怒道：“邦娃子，我真要～你几下哩！
敲敲钱	高利贷	只有忍痛挨棒棒去借～。
睾睾儿	睾丸
搅	搅动	水有沉沉，～不得
搅搅	糊糊
搅搅	糊
烤	酿	不能用青稞大麦粮食～酒，明里大家没表示什么，暗里却家家都在~酒。
烤霸王火	烤火	王部长已经起床，正在屋子里“～”埋下上身，舒张两臂，独自一人占据着一个木炭火钵。
睾子	睾丸
靠2	碰	年轻的那个；拿手肘~了一下同伴，细声提示道。|他向我递眼色，又用腿子～我。
靠3	插枝
靠3	繁植	还嫌少么?~得下百几两百棵吧！
靠节	节疤	竹篾如有～就容易断。
靠呆	确定不移	他长两级工资是～了的，棒棒都打不脱了。
靠实	实在	这东西太重，我～乘不住了。丁永森也～疲倦了，便渐渐昏昏迷迷沉入梦中。
㸆	烧	在旺火上烧开，即改用微火～起。
焅	烧
剋1	刻苦	他才～得，每天半夜三更还在看书。
剋2(刻)	吝啬	他家那个老爹～得要命哩！一年四季炒泡菜连油星星都舍不得多放一点点！
刻苦	苛待	但除了极其～自己，害了病，连药都舍不得吃外，还有一桩好处，就是“无违夫子”四个字。水)刻，
客户子	佃户	他有田有地有山场，还招～我姨娘一家就给他当过佃户。
客伙	客人	是老师的～我们不好收茶钱。
客伙	顾客	以前出门的～坐不起汽车的，才坐黄包车。|来嘛！亭子上只有两个～镶得下。果然亭内一张圆桌，只有两个人在那里静悄悄地浅斟低酌。
客来疯	脾气	别个一来你就打娃儿，人家还以为你在发～。|这娃儿~发了，有个人来，过场就多得很。
客位	顾客	～伙，上来齐没有?开船啰！|多少~被他这光面子话鲠住了，谁还好意思为少称几片黄鳝，少抓了几块白菜去找他?
咳咳耸耸	咳嗽	可身体又不怎样好，周年～也不看病吃药，为的省个钱。又说咳咳吭吭。
磕膝头(胞膝头、骼膝头)	膝盖
刻刻	痕迹	他在船上用刀子刻了个～表示剑是从那儿掉到河里的。
刻刻	范围	还是定个～没到一百三十斤的猪不收。！再自由也有～，天黑人稀的转竹弯，也自由得么?
坑坑	空位	惹到江老头又咋个，他死了填他的～
坑坑包包	坑坑洼洼	地下~的，走路看倒点	。～的桌面，好难看。也说包包坑坑。
肯	容易	菠菜要淋尿水才～长，
肯信	怀疑	我～就只缺你一个！
啃脚	削足
啃生魔芋	愁眉苦脸	他整天焦愁填胸，如同老百姓说的啃了生魔芋。
壳壳	壳
壳壳	封皮	这本书的～太薄了，另外拿张厚纸包个～。
壳子1	封皮
壳子1	封面
壳子2	闲话	“胀饱了就动身吧！”汪达非接着说：“看来你们～也吹够了。”|“如此说来，长枪是冲的～手枪炸弹也是～了！
壳子2	侃爷	王寅伯哩，又是著名的王～，惯会遇事生风。
壳子3	屁	食堂早都关门了，现在去吃～！
壳子客	侃爷	他是个～话多得很。
瞌睡	睡眠	他再不是那些年爱睏懒～的他了！
瞌睡虫	昏昏欲睡
瞌睡虫	瞌睡虫	你简直是个～一天睏到黑都像睏不醒。
颗	个	三～人|铁鸡公认不得检讨书上的任何一～字。|他在草笼里拣到一窝野鸡蛋，整整有十～。
颗颗	颗粒	萝卜～煮包谷类，红苕干膺面蒸粑粑。
颗子	颗粒	底子不用盐菜，用芽菜或大头菜切成～均可。|这包谷～大。|这黄豆～才小呵！
课升	盒子
搁倒	算了	～～！暗了眼睛才吃你那东西！|他越听越恼火：“～！不准你们打胡乱说！”
搁倒的放倒	停止	将来?将来——快～啊！～啊！你那副样子还要夸海口！也说放倒的搁倒。
放倒的搁倒
搁平	解决	官绅双方，都怕把事情太整滥了，自己脱不倒手，所以都想互相让步，怎样把事情～。|你的事每回都只有找贺书记、贺经理才搁得平。
摆平	解决
搁手	接手	我屋头堆了那么多东西还没找到～，有那份闲心?
搁手	责任人	他搞这些都是请示有人的，有～，要追就追到上头去。
空花	空心	菜头太老了，都空了花了。
空花	开窍	“满哥”他拍着腰间穿在裤带上的人造革钱包，又伸出大拇指，“算你脑壳～哪个扒手敢往胯下摸?”空，
空孔扩阔	空泛	你说那些～的话有啥意思嘛。|我静坐一旁，只不开口，原来，众人请我发言，我才~给他们说了一摊子打屁不挨大胯的空话。又说框口况阔。
𤆺	焖	～红苕|把米滤起来~饭吃。
𤆺	闷热	～倒热|这个天气才怪，才五月间就这么～人。
恐防	恐怕	我们退回去，岂非自投罗网?～比在此地还要危险数倍。
空话	闲话	人手倒多，中用的太少，一伙学界老酸，只晓得抽烟、喝茶、说～。|大约就因为爱在茶铺里说～才遭人逮走的。空，
空空	空隙	那里有个～还安得下一根板凳|(李克)原打算抽个～专门来和张福林谈谈。
空龙门阵	闲话	对着学生们也不要动辄就义形于色。你劝他，最好是向学生摆摆~。|莫背倒别个摆人家的～。
空手	躲让	便是横冲直撞的拱竿三丁拐桥，从后面飞跑来的，也不喊“～！”而自然而然会打从他身边绕过。
空头空脑	无关紧要	有时间就复习功课嘛，看那些～的书做啥子?|你做些～的事，有啥意思嘛。
空子	俗人	天不生～不足以养豪杰，豪杰岂是～们学得到的?
抠1(构)	搔	抓换手～背。|毛娃儿在顿脚，大韩～脑壳。
抠2	吝啬	有人说，团长太～了。老杨就给他们讲，“做什么事都得量体裁衣。我们国家眼前还有不少困难。”
抠个个钱	锱铢必较	他专～一分一厘都不得让人。
抠痒树	枞树
彄彄(扣扣)	环子
眍眉凹眼	老态龙钟	他～的，眼睛像在崖崖头一样。
抠	缺斤少两	莫买他的菜，他的称得～|他扯的布尺子量得～。
口敞	快嘴	也怪二女子～，早就教过多少回了，这些事不要拿到饭桌上来说。|他担心父亲这样～会招来麻烦。
口笛	哨子	~声响了，战士们陆续回营。
口钝	嘴笨	二来，我～说不清楚。
口干	口渴	吃了葵瓜子，好～！想喝点水。
